car_trim,powertrain_type
Exeed VX 2025 A/T / Luxury,Internal_Combustion_Engine
Exeed VX 2025 A/T / flagship,Internal_Combustion_Engine
Exeed VX A/T / flagship 2025,Internal_Combustion_Engine
Exeed VX A/T / Luxury 2025,Internal_Combustion_Engine
Mini Cooper 2026 A/T /  JCW  Convertible,Internal_Combustion_Engine
Mini Cooper 2025 A/T / C - Classic,Internal_Combustion_Engine
Mini Cooper 2025 A/T  / C,Internal_Combustion_Engine
Mini Cooper 2025 A/T / C- JCW,Internal_Combustion_Engine
Mini Cooper 2025 A/T / S - JWC,Internal_Combustion_Engine
Mini Cooper 2025 A/T / Se - Favoured,Electric
Mini Cooper A/T  / C 2025,Internal_Combustion_Engine
Mini Cooper A/T / S - JWC 2025,Internal_Combustion_Engine
Mini Cooper A/T / C- JCW 2025,Internal_Combustion_Engine
Mini Cooper A/T / C - Classic 2025,Internal_Combustion_Engine
Mini Country man 2025 A/T / C,Internal_Combustion_Engine
Mini Country man 2025 A/T / JCW ALL 4,Internal_Combustion_Engine
Mini Country man 2025 A/T / E-Favoured,Electric
Mini Country man 2025 A/T / E-JWC,Electric
Mini Country man 2025 A/T / E,Electric
Mini Country man A/T / JCW ALL 4 2025,Internal_Combustion_Engine
Mini Country man A/T / C 2025,Internal_Combustion_Engine
Opel Corsa 2026 A/T / Sport Topline Plus,Internal_Combustion_Engine
Opel Corsa 2025 A/T / Gs line,Internal_Combustion_Engine
Opel Crossland 2025 A/T / Top Line,Internal_Combustion_Engine
Opel Mokka 2026 A/T / Black Edition,Internal_Combustion_Engine
